5760 2279
1489 1489 0
1490 1490 0
1503 1503 0
1504 1504 0
1505 1505 0
1518 1518 0
1519 1519 0
1520 1520 0
1534 1534 0
1549 1549 0
1564 1564 0
1579 1579 0
1580 1580 0
1594 1594 0
1595 1595 0
1640 1640 0
3351 3351 0
3365 3365 0
3380 3380 0
3395 3395 0
3410 3410 0
3425 3425 0
3426 3426 0
3440 3440 0
3455 3455 0
3470 3470 0
3471 3471 0
3485 3485 0
3500 3500 0
3501 3501 0
3515 3515 0
3516 3516 0
3517 3517 0
3530 3530 0
3531 3531 0
3532 3532 0
3544 3544 0
3545 3545 0
3546 3546 0
3559 3559 0
3560 3560 0
3574 3574 0
3575 3575 0
3576 3576 0
3589 3589 0
3590 3590 0
3591 3591 0
3605 3605 0
3606 3606 0
3607 3607 0
3620 3620 0
3621 3621 0
3622 3622 0
3635 3635 0
3636 3636 0
3637 3637 0
3650 3650 0
3651 3651 0
3652 3652 0
3665 3665 0
3666 3666 0
3680 3680 0
3681 3681 0
3682 3682 0
3694 3694 0
3695 3695 0
3696 3696 0
3697 3697 0
3698 3698 0
3709 3709 0
3710 3710 0
3711 3711 0
3712 3712 0
3713 3713 0
3724 3724 0
3725 3725 0
3726 3726 0
3727 3727 0
3739 3739 0
3740 3740 0
3741 3741 0
3742 3742 0
3753 3753 0
3754 3754 0
3755 3755 0
3756 3756 0
3757 3757 0
3769 3769 0
3770 3770 0
3771 3771 0
3772 3772 0
3784 3784 0
3785 3785 0
3786 3786 0
3787 3787 0
3788 3788 0
3799 3799 0
3800 3800 0
3801 3801 0
3802 3802 0
3814 3814 0
3815 3815 0
3816 3816 0
3817 3817 0
3818 3818 0
3829 3829 0
3830 3830 0
3831 3831 0
3832 3832 0
3833 3833 0
3844 3844 0
3845 3845 0
3846 3846 0
3847 3847 0
3848 3848 0
3859 3859 0
3860 3860 0
3861 3861 0
3862 3862 0
3863 3863 0
3875 3875 0
3876 3876 0
3877 3877 0
3878 3878 0
3890 3890 0
3891 3891 0
3892 3892 0
3893 3893 0
3904 3904 0
3905 3905 0
3906 3906 0
3907 3907 0
3908 3908 0
3919 3919 0
3920 3920 0
3921 3921 0
3922 3922 0
3923 3923 0
3934 3934 0
3935 3935 0
3936 3936 0
3937 3937 0
3949 3949 0
3950 3950 0
3951 3951 0
3952 3952 0
3953 3953 0
3965 3965 0
3966 3966 0
3967 3967 0
3979 3979 0
3980 3980 0
3981 3981 0
3982 3982 0
3983 3983 0
3995 3995 0
3996 3996 0
3997 3997 0
4010 4010 0
4011 4011 0
4012 4012 0
4025 4025 0
4026 4026 0
4027 4027 0
4028 4028 0
4040 4040 0
4041 4041 0
4055 4055 0
4056 4056 0
4057 4057 0
4058 4058 0
4070 4070 0
4071 4071 0
4084 4084 0
4085 4085 0
4100 4100 0
4131 4131 0
4145 4145 0
813 814 -5.615986879834934
814 829 -0.11755587465579247
874 875 0.14999637398839596
904 905 -5.615986879834934
904 919 0.037644127140973205
905 920 0.037644127140973205
919 920 -5.615986879834934
934 935 -5.615986879834934
934 949 -0.15991520726584507
948 949 0.27062165170007446
935 950 -0.15991520726584507
949 950 -5.615986879834934
964 979 -0.4220030853692114
978 979 -5.615986879834934
979 980 -5.615986879834934
992 993 -5.615986879834934
993 994 -5.615986879834934
994 995 -5.615986879834934
992 1007 -0.03790153608288122
993 1008 -0.03790153608288122
1007 1008 -5.615986879834934
994 1009 -0.03790153608288122
1008 1009 -5.615986879834934
995 1010 -0.03790153608288122
1009 1010 -5.615986879834934
1022 1023 -0.29446267125422787
1023 1024 -5.615986879834934
1024 1025 -5.615986879834934
1025 1026 -5.615986879834934
1022 1037 0.018558965339139883
1023 1038 0.10065991597511363
1037 1038 -5.615986879834934
1024 1039 0.10065991597511363
1038 1039 -5.615986879834934
1025 1040 0.10065991597511363
1039 1040 -5.615986879834934
1026 1041 0.10065991597511363
1040 1041 -5.615986879834934
1052 1053 -5.615986879834934
1053 1054 -5.615986879834934
1054 1055 -5.615986879834934
1055 1056 -5.615986879834934
1052 1067 0.20356018009050691
1053 1068 0.139952598744918
1067 1068 0.33305072568879834
1054 1069 0.139952598744918
1068 1069 -5.615986879834934
1055 1070 0.139952598744918
1069 1070 -5.615986879834934
1056 1071 0.139952598744918
1070 1071 -5.615986879834934
1083 1084 -5.615986879834934
1084 1085 -5.615986879834934
1085 1086 -5.615986879834934
1083 1098 -0.06434313833504778
1097 1098 -5.615986879834934
1084 1099 -0.06434313833504778
1098 1099 -5.615986879834934
1085 1100 -0.06434313833504778
1099 1100 -5.615986879834934
1086 1101 -0.06434313833504778
1100 1101 -5.615986879834934
1112 1113 -5.615986879834934
1113 1114 -5.615986879834934
1114 1115 -5.615986879834934
1115 1116 -5.615986879834934
1112 1127 0.18076707103151649
1113 1128 -0.14889180097482857
1127 1128 -0.4179239511200308
1114 1129 -0.14889180097482857
1128 1129 -5.615986879834934
1115 1130 -0.14889180097482857
1129 1130 -5.615986879834934
1116 1131 -0.14889180097482857
1130 1131 -5.615986879834934
1142 1143 -5.615986879834934
1143 1144 -5.615986879834934
1144 1145 -5.615986879834934
1145 1146 -5.615986879834934
1142 1157 0.1086109830667395
1143 1158 0.1086109830667395
1157 1158 -5.615986879834934
1144 1159 0.1086109830667395
1158 1159 -5.615986879834934
1145 1160 0.1086109830667395
1159 1160 -5.615986879834934
1171 1172 -5.615986879834934
1172 1173 -5.615986879834934
1173 1174 -5.615986879834934
1174 1175 -5.615986879834934
1172 1187 0.08007084603609851
1173 1188 0.08007084603609851
1187 1188 -5.615986879834934
1174 1189 0.08007084603609851
1188 1189 -5.615986879834934
1175 1190 0.08007084603609851
1189 1190 -5.615986879834934
1202 1203 -5.615986879834934
1203 1204 -5.615986879834934
1204 1205 -5.615986879834934
1205 1206 -5.615986879834934
1202 1217 0.068594941709792
1203 1218 0.068594941709792
1217 1218 -5.615986879834934
1204 1219 0.068594941709792
1218 1219 -5.615986879834934
1205 1220 0.068594941709792
1219 1220 -5.615986879834934
1206 1221 0.068594941709792
1220 1221 -5.615986879834934
1233 1234 -5.615986879834934
1234 1235 -5.615986879834934
1233 1248 0.07082363442358112
1234 1249 0.07082363442358112
1248 1249 -5.615986879834934
1235 1250 0.07082363442358112
1249 1250 -5.615986879834934
1263 1264 -5.615986879834934
1264 1265 -5.615986879834934
1265 1266 -5.615986879834934
1263 1278 0.32968305908295137
1264 1279 -0.0850991284881358
1278 1279 -0.08215537798884953
1265 1280 -0.0850991284881358
1279 1280 -5.615986879834934
1266 1281 -0.0850991284881358
1280 1281 -5.615986879834934
1293 1294 -5.615986879834934
1294 1295 -5.615986879834934
1293 1308 0.08452080649891076
1294 1309 0.08452080649891076
1308 1309 -5.615986879834934
1295 1310 0.08452080649891076
1309 1310 -5.615986879834934
1310 1311 -5.615986879834934
1324 1325 -5.615986879834934
1324 1339 -0.3982752247553547
1325 1340 -0.03599435356705882
1339 1340 0.09987409267385339
1353 1354 -5.615986879834934
1354 1355 -5.615986879834934
1353 1368 -0.1250233135423618
1354 1369 -0.1250233135423618
1368 1369 -5.615986879834934
1355 1370 -0.1250233135423618
1369 1370 -5.615986879834934
1383 1384 -5.615986879834934
1384 1385 -5.615986879834934
1383 1398 0.14868974970428442
1384 1399 -0.3249605937119489
1398 1399 -0.28930954989401947
1385 1400 -0.3249605937119489
1399 1400 -5.615986879834934
1413 1414 -0.17523640027113763
1414 1415 -5.615986879834934
1414 1429 0.3325176888101766
1444 1445 -5.615986879834934
1445 1446 -5.615986879834934
1444 1459 0.06573008724899458
1445 1460 0.06573008724899458
1459 1460 -5.615986879834934
1446 1461 0.06573008724899458
1460 1461 -5.615986879834934
1474 1475 -5.615986879834934
1475 1476 0.1738040616826484
1474 1489 -0.0767272388213609
1488 1489 -5.615986879834934
1475 1490 -0.3247026696611165
1489 1490 -0.1887870125529941
1503 1504 -5.615986879834934
1504 1505 -5.615986879834934
1503 1518 -0.14374128461265792
1504 1519 -0.14374128461265792
1518 1519 -5.615986879834934
1505 1520 -0.14374128461265792
1519 1520 -5.615986879834934
1534 1549 0.1061752074077871
1564 1579 -0.240460574602421
1579 1580 -5.615986879834934
1594 1595 -5.615986879834934
1112 3351 0.18076707103151649
1127 3351 -5.615986879834934
1171 3351 -5.615986879834934
1202 3351 0.1353042933337305
1217 3351 0.06319766267020732
1052 3365 0.2905866792973404
1067 3365 -0.06434313833504778
1097 3365 -5.615986879834934
1112 3365 0.2341677465603559
1127 3365 -0.15437213370706826
1171 3365 -0.15437213370706826
1202 3365 -0.2592071473325164
1217 3365 0.2762665497680637
1052 3380 -0.1258016711854908
1067 3380 -0.2996395162539385
1097 3380 -0.15437213370706826
1112 3380 0.18076707103151649
1127 3380 -5.615986879834934
1171 3380 -5.615986879834934
1202 3380 0.1353042933337305
1217 3380 0.06319766267020732
3365 3380 -0.15437213370706826
1052 3395 -0.9902744766650031
1067 3395 0.7400058769718578
1097 3395 -0.3311560798514048
1112 3395 0.6381309496836034
1127 3395 0.4548618075968618
1142 3395 0.1086109830667395
1157 3395 -5.615986879834934
1172 3395 0.4548618075968618
1187 3395 -0.0696811503556618
1202 3395 -0.27419611850842973
1217 3395 0.31044651206558904
1052 3410 0.005070927550438253
1067 3410 0.13724053174747328
1097 3410 0.10291727887955893
1112 3410 -0.18825404592132813
1127 3410 0.18995659655746167
1142 3410 -5.615986879834934
1157 3410 0.1086109830667395
1172 3410 0.18995659655746167
1187 3410 0.38489582894904606
1202 3410 -0.08470266529849013
1217 3410 0.14763623949978755
3395 3410 0.1086109830667395
992 3425 0.11874268209291622
1007 3425 -0.35036292947549275
1022 3425 0.018558965339139883
1037 3425 -5.615986879834934
1052 3425 -0.2591682066866321
1067 3425 0.44229389006239517
1097 3425 -0.8804850926507011
1112 3425 -0.4172282703958523
1127 3425 0.1659765826125721
1142 3425 -0.06233735790714756
1157 3425 -0.9237793638307392
1172 3426 0.1659765826125721
1187 3426 -0.09986940418727808
1202 3426 -0.3268982064208661
1217 3426 0.14598664566831654
3425 3426 -5.615986879834934
992 3440 -5.615986879834934
1007 3440 -0.03790153608288122
1022 3440 0.24926612400821346
1037 3440 0.11874268209291622
1052 3440 -0.9584673825904584
1067 3440 -0.39790287420073933
1097 3440 0.7473871450807827
1112 3440 -0.8010690458882899
1127 3440 -0.5256831003629112
1142 3440 0.03783416817220442
1157 3440 -0.8922019769657881
3425 3440 0.11874268209291622
992 3455 0.24926612400821346
1007 3455 0.034248020065471674
1022 3455 -5.615986879834934
1037 3455 0.018558965339139883
1052 3455 -0.8783629880150863
1067 3455 -0.31728702579092344
1083 3455 -0.31728702579092344
1098 3455 -0.12624269461380921
1113 3455 -0.14889180097482857
1128 3455 -5.615986879834934
1142 3455 -0.20690240009506272
1157 3455 0.9674190867057073
992 3470 0.03783416817220442
1007 3470 0.24832936541568928
1022 3470 -0.20690240009506272
1037 3470 -0.06233735790714756
1052 3470 0.005070927550438253
1067 3470 0.13724053174747328
1083 3470 0.13724053174747328
1098 3470 0.10291727887955893
1113 3470 -0.18825404592132813
1128 3470 -0.20690240009506272
1142 3470 -5.615986879834934
1157 3470 0.1086109830667395
3455 3470 -0.20690240009506272
1172 3471 0.1353042933337305
1187 3471 0.0157163124352561
1202 3471 -5.615986879834934
1217 3471 0.068594941709792
1263 3471 -0.09172337919187223
1278 3471 -0.40280998222014286
1293 3471 -0.06857658693720207
1308 3471 -0.2438915114082223
3470 3471 -0.08470266529849013
948 3485 -0.40867852759813494
992 3485 -0.39790287420073933
1007 3485 -0.11269030799005109
1022 3485 -0.31728702579092344
1037 3485 0.44229389006239517
1052 3485 0.20356018009050691
1067 3485 -5.615986879834934
1083 3485 -5.615986879834934
1098 3485 -0.06434313833504778
948 3500 -0.4827893751915848
992 3500 -0.45352214228919796
1007 3500 -0.49702668138669204
1022 3500 0.48585451615648045
1037 3500 -0.09986940418727808
1052 3500 -0.3298327260073548
1067 3500 0.1683470436461659
1083 3500 0.1683470436461659
1098 3500 0.19082421336214395
3485 3500 0.1683470436461659
1113 3501 0.3153551855336252
1128 3501 0.48585451615648045
1142 3501 0.38489582894904606
1157 3501 -0.0696811503556618
1172 3501 0.08007084603609851
1187 3501 -5.615986879834934
1202 3501 0.0157163124352561
1217 3501 0.13503731366219485
1263 3501 -0.33318939586432406
1278 3501 0.20439092003143877
3500 3501 -5.615986879834934
948 3515 0.10621937689513393
992 3515 -0.570368254039828
1007 3515 0.291318168026482
1023 3515 0.4945095025692281
1038 3515 -0.3387357671743254
1053 3515 -0.5636743330109908
1068 3515 -0.005688235558260146
1083 3515 0.6009304524705734
1098 3515 0.567776913468456
1113 3516 0.3591596423426813
1128 3516 -0.8277764254739166
1142 3516 -0.17932382838992722
1157 3516 -0.9571411799671843
1172 3516 -0.7541304010643104
1187 3516 0.20439092003143877
1203 3516 -0.40280998222014286
1218 3516 0.6445595077085609
1233 3516 0.9656765243012964
1248 3516 -0.3122839565085995
1263 3516 0.32968305908295137
1278 3516 -5.615986879834934
3515 3516 -5.615986879834934
1293 3517 -0.030021391480063164
1308 3517 0.10621937689513393
1383 3517 -5.615986879834934
1398 3517 0.14868974970428442
1413 3517 0.457829737649623
3516 3517 -5.615986879834934
948 3530 -5.615986879834934
992 3530 0.41027418305157093
1007 3530 0.766533439005864
1023 3530 0.4382378446668399
1038 3530 0.42624939364220427
1053 3530 -0.7740787707937085
1068 3530 0.1409854253092926
1083 3530 -0.40867852759813494
1098 3530 0.5921324646519623
3515 3530 0.10621937689513393
1113 3531 0.9968988334055995
1128 3531 -0.4873693765345477
1142 3531 0.9327034638546614
1157 3531 -0.623378811523726
1172 3531 -0.932914037677959
1187 3531 -0.4827893751915848
1203 3531 -0.2438915114082223
1218 3531 -0.05499543516787342
1233 3531 -0.2366485425314624
1248 3531 0.021272626623708657
1263 3531 0.32046177523969666
1278 3531 0.10621937689513393
3516 3531 0.10621937689513393
3530 3531 -5.615986879834934
1293 3532 0.08452080649891076
1308 3532 -5.615986879834934
1383 3532 0.10621937689513393
1398 3532 -0.17423778484103414
1413 3532 -0.07831750286507078
3517 3532 0.10621937689513393
3531 3532 -5.615986879834934
948 3544 0.41027418305157093
992 3544 -5.615986879834934
1007 3544 -0.03790153608288122
1023 3544 -0.11934201034135983
1038 3544 0.11874268209291622
1053 3545 0.32043413644740504
1068 3545 -0.1518187334378186
1083 3545 -0.5050068574125726
1098 3545 -0.2592071473325164
1113 3545 -0.07655018714257533
1128 3545 -0.3564984199321284
1142 3545 -0.08470266529849013
1157 3545 -0.27419611850842973
1172 3545 0.1353042933337305
1187 3545 0.0157163124352561
1203 3545 -5.615986879834934
1218 3545 0.068594941709792
3544 3545 -0.7876143690619792
1233 3546 -0.06665577704094272
1248 3546 -0.08028543156265744
1263 3546 -0.04515113644463287
1278 3546 -0.030021391480063164
1293 3546 -5.615986879834934
1308 3546 0.08452080649891076
1383 3546 -0.030021391480063164
1398 3546 -0.2142692986433432
3545 3546 -0.06857658693720207
948 3559 -0.05499543516787342
992 3559 0.04166880981646559
1007 3559 -0.1855345469129509
1023 3559 0.40885915273588536
1038 3559 0.14598664566831654
3544 3559 0.04166880981646559
1053 3560 0.8673794694586763
1068 3560 -0.07925454928097153
1083 3560 0.5569746641811264
1098 3560 0.2762665497680637
1113 3560 0.13529578275804122
1128 3560 -0.24225879092891556
1142 3560 0.14763623949978755
1157 3560 0.31044651206558904
1172 3560 0.06319766267020732
1187 3560 0.13503731366219485
1203 3560 0.068594941709792
1218 3560 -5.615986879834934
3545 3560 0.068594941709792
3559 3560 -5.615986879834934
948 3574 -0.17423778484103414
978 3574 -0.2360117201417974
993 3574 -0.020737190443912423
1008 3574 0.019666741698119106
1023 3574 -0.3714431038574634
1038 3574 -0.8048640982154727
1053 3575 -0.3890293121350381
1068 3575 0.5227188066337307
1083 3575 -0.5859052170683272
1098 3575 -0.3433079933414558
1113 3575 0.3642836143894639
1128 3575 0.09916301241466541
1143 3575 0.5793773540752067
1158 3575 0.5676507874722676
1173 3575 -0.47984657008267706
1188 3575 0.082532791646863
1203 3575 0.17801072525565975
1218 3575 0.3807355186419048
3574 3575 -5.615986879834934
1233 3576 -0.4005189586661404
1248 3576 -0.8851680873141308
1263 3576 -0.22568671319163047
1278 3576 0.14868974970428442
1293 3576 -0.2142692986433432
1308 3576 -0.17423778484103414
1353 3576 0.09239566216649697
1368 3576 -0.17665795213293384
1383 3576 0.14868974970428442
1398 3576 -5.615986879834934
3575 3576 -5.615986879834934
948 3589 -0.37115838291725
978 3589 0.3246838866201901
993 3589 0.9584683908992542
1008 3589 -0.2559513576873136
1023 3589 0.014529017404497191
1038 3589 -0.4008002655233367
3574 3589 0.09239566216649697
1053 3590 0.16423285007544886
1068 3590 0.47915625550089413
1083 3590 0.7093097621369473
1098 3590 0.9540318117893856
1113 3590 -0.6856977297588838
1128 3590 -0.6131895062723967
1143 3590 -0.6520101499631841
1158 3590 0.3880466936428202
1173 3590 -0.8044330034490825
1188 3590 0.6962734080158124
1203 3590 -0.09638111993200016
1218 3590 -0.7454696353228365
3575 3590 0.09239566216649697
3589 3590 -5.615986879834934
1233 3591 -0.1517909733569469
1248 3591 -0.7349192808369207
1263 3591 0.3539413676179719
1278 3591 0.44451748440852956
1293 3591 -0.4222008798363426
1308 3591 -0.37115838291725
1353 3591 -5.615986879834934
1368 3591 -0.1250233135423618
1383 3591 0.44451748440852956
1398 3591 0.09239566216649697
3576 3591 0.09239566216649697
3590 3591 -5.615986879834934
993 3605 0.1443252711789227
1008 3605 0.2197197442474772
1023 3605 0.04040643123206652
1038 3605 -0.45234542443522807
1053 3605 -0.18297064420129305
1068 3605 -0.8533980549732267
1083 3605 -0.8085413238121801
1098 3605 -0.9824585244048079
1113 3605 0.45854859870524534
1128 3605 0.2701252214884229
1143 3605 -0.06401434286465202
1158 3605 -0.41619956180969075
1173 3606 0.49561106009125155
1188 3606 0.3185766408061841
1203 3606 -0.0697843269294598
1218 3606 -0.002643045709168179
1233 3606 -0.9329140927355644
1248 3606 -0.3146964276514621
1263 3606 0.4451904237513762
1278 3606 -0.007207625724083844
1293 3606 0.09718896752611672
1308 3606 -0.9985346186679966
3605 3606 -5.615986879834934
1353 3607 -0.1250233135423618
1368 3607 -5.615986879834934
1383 3607 -0.007207625724083844
1398 3607 -0.17665795213293384
1413 3607 0.2603095735525681
1488 3607 0.13991697656150526
1503 3607 -0.2517371077230661
1518 3607 -0.17665795213293384
3606 3607 -5.615986879834934
993 3620 -0.11934201034135983
1008 3620 -0.08748625199086402
1023 3620 -5.615986879834934
1038 3620 0.10065991597511363
1053 3620 -0.2740676493213954
1068 3620 -0.15750679929203915
1083 3620 -0.36182019344273786
1098 3620 0.5290593062773985
1113 3620 0.025754423418546835
1128 3620 -0.29446267125422787
1143 3620 -0.3239365748626617
1158 3620 -0.5285299679129754
3605 3620 0.04040643123206652
1173 3621 -0.47453068155981537
1188 3621 0.9481526956868842
1203 3621 -0.30210964043066535
1218 3621 0.40885915273588536
1233 3621 -0.13923058963642398
1248 3621 0.2514876655290563
1263 3621 0.17096551310490027
1278 3621 0.4945095025692281
1293 3621 0.3716087038087149
1308 3621 0.4382378446668399
3606 3621 0.04040643123206652
3620 3621 -5.615986879834934
1353 3622 0.09239566216649697
1368 3622 -0.17665795213293384
1383 3622 0.14868974970428442
1398 3622 -5.615986879834934
1413 3622 -0.2562679928877409
1488 3622 0.1731850581921902
1503 3622 -0.14374128461265792
1518 3622 -5.615986879834934
3607 3622 -0.17665795213293384
3621 3622 -0.3714431038574634
993 3635 -0.8180925789069808
1008 3635 -0.28210602460969625
1023 3635 0.8641377875339744
1038 3635 -0.17985078537727572
1053 3635 -0.6504362092875955
1068 3635 0.7404725864719868
1084 3635 0.9300439054605256
1099 3635 0.23178517120194342
1114 3635 -0.8082128571524212
1129 3635 -0.894160500205256
1143 3635 0.727519658839672
1158 3635 -0.13426201740852184
1173 3636 0.3723360247895926
1188 3636 -0.12756445742221967
1203 3636 0.12536806831018987
1218 3636 0.2622739438197439
1233 3636 -0.42871235035542665
1248 3636 -0.16481082184584728
1264 3636 0.06026147926092418
1279 3636 -0.2582706221242326
1294 3636 -0.032722350159192004
1309 3636 -0.07831750286507078
3635 3636 -5.615986879834934
1353 3637 -0.36577516534833476
1368 3637 0.2603095735525681
1383 3637 0.457829737649623
1398 3637 -0.2562679928877409
1413 3637 -5.615986879834934
1444 3637 0.011987619600327237
1459 3637 0.34755276612441266
1474 3637 -5.615986879834934
1489 3637 -0.0767272388213609
1503 3637 0.0996305554835684
1518 3637 -0.2562679928877409
3636 3637 -5.615986879834934
993 3650 0.6885199535063582
1008 3650 0.760331327146919
1023 3650 0.30454110471002815
1038 3650 -0.5092304370491298
1053 3650 0.4583202112326048
1068 3650 0.07495931841726167
1084 3650 -0.3779526356195555
1099 3650 0.6508747203616136
1114 3650 -0.3683692450093683
1129 3650 0.4927395481572785
1143 3650 0.29171951273833785
1158 3650 -0.9860703696668351
3635 3650 0.0996305554835684
1173 3651 0.5097953900953704
1188 3651 0.8984612970345391
1203 3651 0.3438893936517038
1218 3651 0.13320812763207535
1233 3651 -0.5244000288297477
1248 3651 -0.871736834728565
1264 3651 -0.004200044056176244
1279 3651 0.21703685525928496
1294 3651 0.014018170559865095
1309 3651 0.4998793169600402
3636 3651 0.0996305554835684
3650 3651 -5.615986879834934
1353 3652 0.46336822694898316
1368 3652 -0.2517371077230661
1383 3652 -0.5854574040352949
1398 3652 -0.14374128461265792
1413 3652 0.0996305554835684
1444 3652 -0.8943010745218367
1459 3652 0.20519716821703993
1474 3652 0.0996305554835684
1489 3652 -0.0037611597698222754
1503 3652 -5.615986879834934
1518 3652 -0.14374128461265792
3637 3652 0.0996305554835684
3651 3652 -5.615986879834934
934 3665 -0.17450126678053957
949 3665 0.3271256226910486
978 3665 0.47040853023291307
993 3665 -0.4010450774537664
1008 3665 -0.31099576923802286
1023 3665 -0.13923058963642398
1038 3665 0.393091013069772
1053 3665 -0.0453726466819262
1068 3665 0.714095913759585
1084 3665 -0.8988024265321144
1099 3665 0.4181414700510817
1114 3666 -0.9203009573364245
1129 3666 0.342878547770189
1143 3666 -0.5323793265228658
1158 3666 0.7702842189099817
1173 3666 -0.20806509663201989
1188 3666 -0.12854153551042025
1203 3666 0.3686878956615838
1218 3666 0.7181115753747944
1233 3666 -5.615986879834934
1248 3666 0.07082363442358112
1264 3666 -0.5265237010183048
1279 3666 -0.14781652333315254
3665 3666 -5.615986879834934
934 3680 0.054491398757926635
949 3680 0.274340139980944
978 3680 -0.254347931647379
993 3680 -0.45412105501958333
1008 3680 -0.7566935264870758
1023 3680 -0.6099610029364912
1038 3680 -0.9649718701424397
1053 3680 0.2607757935421806
1068 3680 0.6956661572092648
1084 3680 0.6409535796195662
1099 3680 0.3902917278751403
3665 3680 0.218673531545884
1114 3681 0.013700161505547648
1129 3681 0.06911470151328003
1143 3681 -0.1562793578767243
1158 3681 0.5867074712910969
1173 3681 0.5653452265363497
1188 3681 0.28438998669503257
1203 3681 -0.9957429206773316
1218 3681 -0.03372779513581858
1233 3681 0.218673531545884
1248 3681 0.5850188343164735
1264 3681 0.9801065423091724
1279 3681 0.14638223854084853
3666 3681 0.218673531545884
3680 3681 -5.615986879834934
1294 3682 -0.08301524629781565
1309 3682 -0.034091666824734634
1353 3682 0.8634673796698231
1368 3682 -0.6765504662887873
1383 3682 0.5286388509096307
1398 3682 0.8881548136851911
1413 3682 0.011987619600327237
1444 3682 -5.615986879834934
1459 3682 0.06573008724899458
3681 3682 -5.615986879834934
813 3694 0.20835792606177167
859 3694 -0.3147668313720224
874 3694 0.14250439078607102
904 3694 0.4423999224683042
919 3694 -0.5546139872216198
934 3695 -0.16189296366449024
949 3695 -0.2673724910458628
978 3695 0.12057372802185916
993 3695 -0.05167048664446461
1008 3695 -0.8246956141133333
1024 3695 0.42128581155007905
1039 3695 -0.4768595816752488
1054 3695 0.15172230752508575
1069 3695 0.12125496059820673
1084 3695 0.2540204345870263
1099 3695 -0.35984654020930407
3694 3695 -5.615986879834934
1114 3696 0.17723622859603694
1129 3696 0.5617734494564246
1143 3696 -0.8816333313030746
1158 3696 -0.03176468599705862
1173 3696 -0.22113091868110146
1188 3696 -0.06886608159392593
1204 3696 -0.5659554277176013
1219 3696 -0.49771461999734523
1234 3696 -0.2916870090820072
1249 3696 -0.1077234625886705
1264 3696 0.29273385189327117
1279 3696 -0.2749101849629274
3695 3696 -5.615986879834934
1294 3697 0.4908356653506385
1309 3697 0.17008387786778534
1353 3697 -0.7270689976177913
1368 3697 0.6977741776506814
1384 3697 -0.6961971711121218
1399 3697 0.04096762496557638
1414 3697 -0.10262993344231286
1429 3697 -0.12740612145284533
1444 3697 -0.6121089389918011
1459 3697 -0.36522015987649237
3696 3697 -5.615986879834934
1474 3698 -0.5206638089860958
1489 3698 -0.4394660193713895
1503 3698 0.41575023948927203
1518 3698 0.02939621585459906
1564 3698 -5.615986879834934
1579 3698 -0.240460574602421
1594 3698 -5.615986879834934
3697 3698 -5.615986879834934
813 3709 -5.615986879834934
859 3709 -0.045151073925166374
874 3709 0.15225904614969799
904 3709 0.30454905786496833
919 3709 0.14404412517685328
3694 3709 0.20835792606177167
934 3710 -0.2220799972300499
949 3710 0.2152569864041115
978 3710 -5.615986879834934
993 3710 0.3881362211718564
1008 3710 0.353983364608461
1024 3710 0.7875888336001164
1039 3710 0.15255690785096498
1054 3710 0.605536042020927
1069 3710 -0.33067273912236994
1084 3710 -0.11195971482792189
1099 3710 -0.4713400610161209
3695 3710 0.12057372802185916
